task id resource start end time type
mProjectPP 1 256 0 6930 6930 dbws 
mProjectPP 3 256 0 6971 6971 dbws 
mProjectPP 4 256 0 6451 6451 dbws 
mProjectPP 5 256 0 6562 6562 dbws 
mProjectPP 6 256 0 6093 6093 dbws 
mProjectPP 7 256 0 6283 6283 dbws 
mProjectPP 8 256 0 6652 6652 dbws 
mProjectPP 9 256 0 6072 6072 dbws 
mProjectPP 10 256 0 6726 6726 dbws 
mProjectPP 2 256 0 6733 6733 dbws 
mDiffFit 11 256 6930 10821 3891 dbws 
mDiffFit 12 256 6971 10691 3720 dbws 
mDiffFit 13 256 6930 10349 3419 dbws 
mDiffFit 14 256 6971 10612 3641 dbws 
mDiffFit 15 256 6733 10121 3388 dbws 
mDiffFit 16 256 6971 10898 3927 dbws 
mDiffFit 17 256 6971 11020 4049 dbws 
mDiffFit 18 256 6971 10954 3983 dbws 
mDiffFit 19 256 6562 10484 3922 dbws 
mDiffFit 20 256 6451 10762 4311 dbws 
mDiffFit 21 256 6562 11369 4807 dbws 
mDiffFit 22 256 6562 10952 4390 dbws 
mDiffFit 23 256 6283 10298 4015 dbws 
mDiffFit 24 256 6093 10188 4095 dbws 
mDiffFit 25 256 6283 11030 4747 dbws 
mDiffFit 26 256 6726 9918 3192 dbws 
mDiffFit 27 256 6726 10506 3780 dbws 
mConcatFit 28 256 11369 13277 1908 dbws 
mBgModel 29 256 13277 25240 11963 dbws 
mBackground 30 256 25240 27579 2339 dbws 
mBackground 31 256 25240 29061 3821 dbws 
mBackground 32 256 25240 27870 2630 dbws 
mBackground 33 256 25240 27674 2434 dbws 
mBackground 34 256 25240 28029 2789 dbws 
mBackground 35 256 25240 27600 2360 dbws 
mBackground 36 256 25240 27651 2411 dbws 
mBackground 37 256 25240 27423 2183 dbws 
mBackground 38 256 25240 27575 2335 dbws 
mBackground 39 256 25240 28045 2805 dbws 
mImgtbl 40 256 29061 33180 4119 dbws 
mAdd 41 256 33180 41721 8541 dbws 
mShrink 42 256 41721 44071 2350 dbws 
mJPEG 43 256 44071 46569 2498 dbws 
