task id resource start end time type
mProjectPP 1 256 53 5744 5691 real 
mProjectPP 3 256 63 6034 5971 real 
mProjectPP 4 256 37 6037 6000 real 
mProjectPP 5 256 75 5559 5484 real 
mProjectPP 6 256 94 5717 5623 real 
mProjectPP 7 256 86 6107 6021 real 
mProjectPP 8 256 63 6034 5971 real 
mProjectPP 9 256 59 5971 5912 real 
mProjectPP 10 256 166 6364 6198 real 
mProjectPP 2 256 30 6148 6118 real 
mDiffFit 11 256 6362 10613 4251 real 
mDiffFit 12 256 6309 9987 3678 real 
mDiffFit 13 256 6045 9948 3903 real 
mDiffFit 14 256 6589 10188 3599 real 
mDiffFit 15 256 6632 10238 3606 real 
mDiffFit 16 256 6421 10436 4015 real 
mDiffFit 17 256 6326 10343 4017 real 
mDiffFit 18 256 6630 10571 3941 real 
mDiffFit 19 256 6266 11041 4775 real 
mDiffFit 20 256 6449 10379 3930 real 
mDiffFit 21 256 6117 9597 3480 real 
mDiffFit 22 256 6282 9971 3689 real 
mDiffFit 23 256 6633 10312 3679 real 
mDiffFit 24 256 6451 10679 4228 real 
mDiffFit 25 256 6326 9983 3657 real 
mDiffFit 26 256 6839 11474 4635 real 
mDiffFit 27 256 6596 10358 3762 real 
mConcatFit 28 256 12188 13957 1769 real 
mBgModel 29 256 14159 26069 11910 real 
mBackground 30 256 26344 29103 2759 real 
mBackground 31 256 26461 28927 2466 real 
mBackground 32 256 26405 28845 2440 real 
mBackground 33 256 26427 29214 2787 real 
mBackground 34 256 26432 29390 2958 real 
mBackground 35 256 26378 29181 2803 real 
mBackground 36 256 26415 28561 2146 real 
mBackground 37 256 26442 29160 2718 real 
mBackground 38 256 26362 28758 2396 real 
mBackground 39 256 26423 28810 2387 real 
mImgtbl 40 256 29912 34408 4496 real 
mAdd 41 256 34743 43250 8507 real 
mShrink 42 256 43437 45816 2379 real 
mJPEG 43 256 46038 48776 2738 real 
