task id resource start end time type
mProjectPP 1 2560 34 2189 2155 real 
mProjectPP 3 2560 26 1965 1939 real 
mProjectPP 4 2560 28 2326 2298 real 
mProjectPP 5 2560 27 2419 2392 real 
mProjectPP 6 2560 43 2083 2040 real 
mProjectPP 7 2560 29 1954 1925 real 
mProjectPP 8 2560 46 1860 1814 real 
mProjectPP 9 2560 49 1624 1575 real 
mProjectPP 10 2560 46 1975 1929 real 
mProjectPP 2 2560 43 1917 1874 real 
mDiffFit 11 2560 2466 4280 1814 real 
mDiffFit 12 2560 2579 4915 2336 real 
mDiffFit 13 2560 2858 5616 2758 real 
mDiffFit 14 2560 2332 3956 1624 real 
mDiffFit 15 2560 2210 4474 2264 real 
mDiffFit 16 2560 2577 4822 2245 real 
mDiffFit 17 2560 2677 5223 2546 real 
mDiffFit 18 2560 2273 4056 1783 real 
mDiffFit 19 2560 2660 4026 1366 real 
mDiffFit 20 2560 2798 5850 3052 real 
mDiffFit 21 2560 2854 4658 1804 real 
mDiffFit 22 2560 2859 5036 2177 real 
mDiffFit 23 2560 2374 4553 2179 real 
mDiffFit 24 2560 2348 3897 1549 real 
mDiffFit 25 2560 2262 4280 2018 real 
mDiffFit 26 2560 2242 5066 2824 real 
mDiffFit 27 2560 2239 4144 1905 real 
mConcatFit 28 2560 6947 7404 457 real 
mBgModel 29 2560 7551 9648 2097 real 
mBackground 30 2560 9955 12220 2265 real 
mBackground 31 2560 9974 12068 2094 real 
mBackground 32 2560 9961 11683 1722 real 
mBackground 33 2560 10008 11578 1570 real 
mBackground 34 2560 9990 12173 2183 real 
mBackground 35 2560 9990 11499 1509 real 
mBackground 36 2560 10001 11732 1731 real 
mBackground 37 2560 10003 11337 1334 real 
mBackground 38 2560 10004 12228 2224 real 
mBackground 39 2560 10026 11337 1311 real 
mImgtbl 40 2560 13325 17922 4597 real 
mAdd 41 2560 18248 25271 7023 real 
mShrink 42 2560 25577 28244 2667 real 
mJPEG 43 2560 28430 31710 3280 real 
