task id resource start end time type
mProjectPP 1 1024 62 2316 2254 real 
mProjectPP 3 1024 35 2581 2546 real 
mProjectPP 4 1024 71 2449 2378 real 
mProjectPP 5 1024 89 3227 3138 real 
mProjectPP 6 1024 77 2809 2732 real 
mProjectPP 7 1024 55 2422 2367 real 
mProjectPP 8 1024 69 2366 2297 real 
mProjectPP 9 1024 84 2824 2740 real 
mProjectPP 10 1024 74 2261 2187 real 
mProjectPP 2 1024 24 2198 2174 real 
mDiffFit 11 1024 2535 6769 4234 real 
mDiffFit 12 1024 2923 5111 2188 real 
mDiffFit 13 1024 3493 5197 1704 real 
mDiffFit 14 1024 2881 5128 2247 real 
mDiffFit 15 1024 2533 4707 2174 real 
mDiffFit 16 1024 2897 5301 2404 real 
mDiffFit 17 1024 3457 5466 2009 real 
mDiffFit 18 1024 2863 6025 3162 real 
mDiffFit 19 1024 3477 6137 2660 real 
mDiffFit 20 1024 2788 5748 2960 real 
mDiffFit 21 1024 3766 5726 1960 real 
mDiffFit 22 1024 3563 4950 1387 real 
mDiffFit 23 1024 3044 4588 1544 real 
mDiffFit 24 1024 3321 5043 1722 real 
mDiffFit 25 1024 3103 6212 3109 real 
mDiffFit 26 1024 2601 5350 2749 real 
mDiffFit 27 1024 3100 5425 2325 real 
mConcatFit 28 1024 7548 8118 570 real 
mBgModel 29 1024 8271 11240 2969 real 
mBackground 30 1024 11454 13212 1758 real 
mBackground 31 1024 11452 13133 1681 real 
mBackground 32 1024 11457 13431 1974 real 
mBackground 33 1024 11457 12991 1534 real 
mBackground 34 1024 11479 13104 1625 real 
mBackground 35 1024 11510 13043 1533 real 
mBackground 36 1024 11505 12955 1450 real 
mBackground 37 1024 11479 13471 1992 real 
mBackground 38 1024 11497 13198 1701 real 
mBackground 39 1024 11481 13028 1547 real 
mImgtbl 40 1024 14191 17507 3316 real 
mAdd 41 1024 17721 21992 4271 real 
mShrink 42 1024 22281 24051 1770 real 
mJPEG 43 1024 24251 26033 1782 real 
