task id resource start end time type
mProjectPP 1 3008 32 2608 2576 real 
mProjectPP 3 3008 44 1817 1773 real 
mProjectPP 4 3008 42 2422 2380 real 
mProjectPP 5 3008 64 2099 2035 real 
mProjectPP 6 3008 65 1874 1809 real 
mProjectPP 7 3008 58 1830 1772 real 
mProjectPP 8 3008 31 1803 1772 real 
mProjectPP 9 3008 65 2271 2206 real 
mProjectPP 10 3008 54 2200 2146 real 
mProjectPP 2 3008 22 2077 2055 real 
mDiffFit 11 3008 3045 5518 2473 real 
mDiffFit 12 3008 2855 4108 1253 real 
mDiffFit 13 3008 2983 5492 2509 real 
mDiffFit 14 3008 2356 4763 2407 real 
mDiffFit 15 3008 2344 4705 2361 real 
mDiffFit 16 3008 2637 4402 1765 real 
mDiffFit 17 3008 2325 5145 2820 real 
mDiffFit 18 3008 2097 3646 1549 real 
mDiffFit 19 3008 2654 4554 1900 real 
mDiffFit 20 3008 2677 4775 2098 real 
mDiffFit 21 3008 2308 4351 2043 real 
mDiffFit 22 3008 2295 4771 2476 real 
mDiffFit 23 3008 2099 3853 1754 real 
mDiffFit 24 3008 2540 4570 2030 real 
mDiffFit 25 3008 2505 4303 1798 real 
mDiffFit 26 3008 2470 4900 2430 real 
mDiffFit 27 3008 2818 4851 2033 real 
mConcatFit 28 3008 7070 7514 444 real 
mBgModel 29 3008 7763 9845 2082 real 
mBackground 30 3008 10125 12109 1984 real 
mBackground 31 3008 10149 11593 1444 real 
mBackground 32 3008 10123 12406 2283 real 
mBackground 33 3008 10151 12040 1889 real 
mBackground 34 3008 10136 11567 1431 real 
mBackground 35 3008 10115 12260 2145 real 
mBackground 36 3008 10106 11699 1593 real 
mBackground 37 3008 10115 11413 1298 real 
mBackground 38 3008 10146 11757 1611 real 
mBackground 39 3008 10147 11468 1321 real 
mImgtbl 40 3008 12931 16503 3572 real 
mAdd 41 3008 16814 22228 5414 real 
mShrink 42 3008 22528 26709 4181 real 
mJPEG 43 3008 26897 29274 2377 real 
