task id resource start end time type
mProjectPP 1 2048 0 2358 2358 dbws 
mProjectPP 3 2048 0 2206 2206 dbws 
mProjectPP 4 2048 0 2032 2032 dbws 
mProjectPP 5 2048 0 2148 2148 dbws 
mProjectPP 6 2048 0 2292 2292 dbws 
mProjectPP 7 2048 0 1922 1922 dbws 
mProjectPP 8 2048 0 1858 1858 dbws 
mProjectPP 9 2048 0 1885 1885 dbws 
mProjectPP 10 2048 0 2227 2227 dbws 
mProjectPP 2 2048 0 1858 1858 dbws 
mDiffFit 11 2048 2358 4507 2149 dbws 
mDiffFit 12 2048 2358 4712 2354 dbws 
mDiffFit 13 2048 2358 4356 1998 dbws 
mDiffFit 14 2048 2206 4060 1854 dbws 
mDiffFit 15 2048 1858 3289 1431 dbws 
mDiffFit 16 2048 2206 4458 2252 dbws 
mDiffFit 17 2048 2206 4749 2543 dbws 
mDiffFit 18 2048 2206 3866 1660 dbws 
mDiffFit 19 2048 2148 3511 1363 dbws 
mDiffFit 20 2048 2032 4164 2132 dbws 
mDiffFit 21 2048 2292 3910 1618 dbws 
mDiffFit 22 2048 2148 3716 1568 dbws 
mDiffFit 23 2048 2292 3715 1423 dbws 
mDiffFit 24 2048 2292 5016 2724 dbws 
mDiffFit 25 2048 1922 3980 2058 dbws 
mDiffFit 26 2048 2227 3840 1613 dbws 
mDiffFit 27 2048 2227 4930 2703 dbws 
mConcatFit 28 2048 5016 5443 427 dbws 
mBgModel 29 2048 5443 7500 2057 dbws 
mBackground 30 2048 7500 9055 1555 dbws 
mBackground 31 2048 7500 9192 1692 dbws 
mBackground 32 2048 7500 9237 1737 dbws 
mBackground 33 2048 7500 9134 1634 dbws 
mBackground 34 2048 7500 9189 1689 dbws 
mBackground 35 2048 7500 9046 1546 dbws 
mBackground 36 2048 7500 8894 1394 dbws 
mBackground 37 2048 7500 9675 2175 dbws 
mBackground 38 2048 7500 9478 1978 dbws 
mBackground 39 2048 7500 8861 1361 dbws 
mImgtbl 40 2048 9675 12355 2680 dbws 
mAdd 41 2048 12355 16779 4424 dbws 
mShrink 42 2048 16779 18896 2117 dbws 
mJPEG 43 2048 18896 20783 1887 dbws 
