task id resource start end time type
mProjectPP 1 1536 0 2367 2367 real 
mProjectPP 3 1536 49 2298 2249 real 
mProjectPP 4 1536 43 2305 2262 real 
mProjectPP 5 1536 49 2082 2033 real 
mProjectPP 6 1536 60 2058 1998 real 
mProjectPP 7 1536 64 2225 2161 real 
mProjectPP 8 1536 58 2158 2100 real 
mProjectPP 9 1536 57 1966 1909 real 
mProjectPP 10 1536 61 1864 1803 real 
mProjectPP 2 1536 55 2224 2169 real 
mDiffFit 11 1536 2611 4493 1882 real 
mDiffFit 12 1536 2826 5517 2691 real 
mDiffFit 13 1536 2818 5123 2305 real 
mDiffFit 14 1536 2600 5441 2841 real 
mDiffFit 15 1536 2626 5660 3034 real 
mDiffFit 16 1536 2770 4271 1501 real 
mDiffFit 17 1536 2509 4197 1688 real 
mDiffFit 18 1536 2505 4074 1569 real 
mDiffFit 19 1536 2713 4559 1846 real 
mDiffFit 20 1536 2797 5395 2598 real 
mDiffFit 21 1536 2350 4106 1756 real 
mDiffFit 22 1536 2485 3987 1502 real 
mDiffFit 23 1536 2480 3979 1499 real 
mDiffFit 24 1536 2393 5397 3004 real 
mDiffFit 25 1536 2441 3839 1398 real 
mDiffFit 26 1536 2433 4013 1580 real 
mDiffFit 27 1536 2150 4832 2682 real 
mConcatFit 28 1536 8455 9036 581 real 
mBgModel 29 1536 9242 11429 2187 real 
mBackground 30 1536 11690 14815 3125 real 
mBackground 31 1536 11706 14740 3034 real 
mBackground 32 1536 11722 13068 1346 real 
mBackground 33 1536 11736 13198 1462 real 
mBackground 34 1536 11738 13789 2051 real 
mBackground 35 1536 11732 13675 1943 real 
mBackground 36 1536 11744 13330 1586 real 
mBackground 37 1536 11731 13076 1345 real 
mBackground 38 1536 11733 13119 1386 real 
mBackground 39 1536 11746 13284 1538 real 
mImgtbl 40 1536 15457 18684 3227 real 
mAdd 41 1536 18887 24040 5153 real 
mShrink 42 1536 24296 26721 2425 real 
mJPEG 43 1536 26961 29520 2559 real 
