task id resource start end time type
mProjectPP 1 512 0 7014 7014 dbws 
mProjectPP 3 512 0 4579 4579 dbws 
mProjectPP 4 512 0 4190 4190 dbws 
mProjectPP 5 512 0 4472 4472 dbws 
mProjectPP 6 512 0 4423 4423 dbws 
mProjectPP 7 512 0 4686 4686 dbws 
mProjectPP 8 512 0 4662 4662 dbws 
mProjectPP 9 512 0 4030 4030 dbws 
mProjectPP 10 512 0 3968 3968 dbws 
mProjectPP 2 512 0 4275 4275 dbws 
mDiffFit 11 512 7014 9568 2554 dbws 
mDiffFit 12 512 7014 9329 2315 dbws 
mDiffFit 13 512 7014 10621 3607 dbws 
mDiffFit 14 512 4579 6926 2347 dbws 
mDiffFit 15 512 4662 7139 2477 dbws 
mDiffFit 16 512 4579 7259 2680 dbws 
mDiffFit 17 512 4579 7385 2806 dbws 
mDiffFit 18 512 4662 8029 3367 dbws 
mDiffFit 19 512 4472 7640 3168 dbws 
mDiffFit 20 512 4686 7594 2908 dbws 
mDiffFit 21 512 4472 7211 2739 dbws 
mDiffFit 22 512 4686 7940 3254 dbws 
mDiffFit 23 512 4686 7488 2802 dbws 
mDiffFit 24 512 4423 7422 2999 dbws 
mDiffFit 25 512 4686 7641 2955 dbws 
mDiffFit 26 512 4686 7535 2849 dbws 
mDiffFit 27 512 4030 7836 3806 dbws 
mConcatFit 28 512 10621 11572 951 dbws 
mBgModel 29 512 11572 17609 6037 dbws 
mBackground 30 512 17609 20114 2505 dbws 
mBackground 31 512 17609 19436 1827 dbws 
mBackground 32 512 17609 19635 2026 dbws 
mBackground 33 512 17609 19868 2259 dbws 
mBackground 34 512 17609 19818 2209 dbws 
mBackground 35 512 17609 19971 2362 dbws 
mBackground 36 512 17609 19635 2026 dbws 
mBackground 37 512 17609 19615 2006 dbws 
mBackground 38 512 17609 19187 1578 dbws 
mBackground 39 512 17609 19835 2226 dbws 
mImgtbl 40 512 20114 23241 3127 dbws 
mAdd 41 512 23241 29780 6539 dbws 
mShrink 42 512 29780 31592 1812 dbws 
mJPEG 43 512 31592 33214 1622 dbws 
